review_id;business_name;category;review_text;review_date;rating;source_url;place_id;address;city
Ci9DQUlRQUNvZENodHljRjlvT20xV1owVnlTbW90ZDJ0YVV5MHdaSEJ6Y1hCWlkzYxAB;Bakso Pa'jero;Kuliner;enak dan pelayanan baik dan ramah;28/03/2026 20:29;5;https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT20xV1owVnlTbW90ZDJ0YVV5MHdaSEJ6Y1hCWlkzYxAB!2m1!1s0x0:0x99b3fffaf87195b0!3m1!1s2@1:CAIQACodChtycF9oOm1WZ0VySmotd2taUy0wZHBzcXBZY3c%7C%7C?hl=en;ChIJifWlyWhZei4RsJVx-Pr_s5k;Jl. Colombo, Karang Malang, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia;Sleman Regency
Ci9DQUlRQUNvZENodHljRjlvT2pKd2JuRmxiVU4wY1c1bmVHUlNlQzFIWkZOWE4wRRAB;Bakso Pa'jero;Kuliner;pelayanannya ramah dan cepat 👍🏿🥰;28/03/2026 14:02;5;https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pKd2JuRmxiVU4wY1c1bmVHUlNlQzFIWkZOWE4wRRAB!2m1!1s0x0:0x99b3fffaf87195b0!3m1!1s2@1:CAIQACodChtycF9oOjJwbnFlbUN0cW5neGRSeC1HZFNXN0E%7C%7C?hl=en;ChIJifWlyWhZei4RsJVx-Pr_s5k;Jl. Colombo, Karang Malang, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia;Sleman Regency
Ci9DQUlRQUNvZENodHljRjlvT2paUGNYRjRRa0ZwTWtab1kwRmlOMHd5U1VJeFptYxAB;Bakso Pa'jero;Kuliner;Tambah Pesenan bakso komplit tetelan ( take away ) sampai rumah gak ada tetelan nya . Huft;28/03/2026 13:35;1;https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2paUGNYRjRRa0ZwTWtab1kwRmlOMHd5U1VJeFptYxAB!2m1!1s0x0:0x99b3fffaf87195b0!3m1!1s2@1:CAIQACodChtycF9oOjZPcXF4QkFpMkZoY0FiN0wySUIxZmc%7C%7C?hl=en;ChIJifWlyWhZei4RsJVx-Pr_s5k;Jl. Colombo, Karang Malang, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia;Sleman Regency
Ci9DQUlRQUNvZENodHljRjlvT2xweWJYbE5WWEZ0YkhoSE5scDViMHhPYTJSaVZuYxAB;Bakso Pa'jero;Kuliner;Kedua kalinya aku jajan di bakso Pajero. Puas dan kenyang alhamdulillah. Tempatnya nyaman. Parkir juga luas aman. Tarif jelas.;28/03/2026 12:57;5;https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xweWJYbE5WWEZ0YkhoSE5scDViMHhPYTJSaVZuYxAB!2m1!1s0x0:0x99b3fffaf87195b0!3m1!1s2@1:CAIQACodChtycF9oOlpybXlNVXFtbHhHNlp5b0xOa2RiVnc%7C%7C?hl=en;ChIJifWlyWhZei4RsJVx-Pr_s5k;Jl. Colombo, Karang Malang, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia;Sleman Regency
Ci9DQUlRQUNvZENodHljRjlvT2w5aVpUVk1SWE5KUXpCaVFWOVhka2R1TVRGeVkwRRAB;Bakso Pa'jero;Kuliner;Ke jogja penasaran, coba cobaa ya okelahh🙇;27/03/2026 23:17;4;https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2w5aVpUVk1SWE5KUXpCaVFWOVhka2R1TVRGeVkwRRAB!2m1!1s0x0:0x99b3fffaf87195b0!3m1!1s2@1:CAIQACodChtycF9oOl9iZTVMRXNJQzBiQV9XdkduMTFyY0E%7C%7C?hl=en;ChIJifWlyWhZei4RsJVx-Pr_s5k;Jl. Colombo, Karang Malang, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia;Sleman Regency
Ci9DQUlRQUNvZENodHljRjlvT21waU9YWjZOVlJ4UjNkdlpreFlSMFo2VG5ac1QzYxAB;Bakso Pa'jero;Kuliner;Sumpah Makana nikmat nikmat semua tidak ada yg mengecewakan;27/03/2026 14:12;5;https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21waU9YWjZOVlJ4UjNkdlpreFlSMFo2VG5ac1QzYxAB!2m1!1s0x0:0x99b3fffaf87195b0!3m1!1s2@1:CAIQACodChtycF9oOmpiOXZ6NVRxR3dvZkxYR0Z6TnZsT3c%7C%7C?hl=en;ChIJifWlyWhZei4RsJVx-Pr_s5k;Jl. Colombo, Karang Malang, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia;Sleman Regency
Ci9DQUlRQUNvZENodHljRjlvT2tSbU5uTnBZMHhoTTNWdGRVYzBlVE5rYVdaMU9YYxAB;Bakso Pa'jero;Kuliner;Sudah yg ke 3 x ke sini, rasa masih sama, masih enakkkkkk,,,,kaka2 dan mas2nya ramah2 semua,,,sukses terus usahanya bakso pa jero;27/03/2026 08:07;5;https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tSbU5uTnBZMHhoTTNWdGRVYzBlVE5rYVdaMU9YYxAB!2m1!1s0x0:0x99b3fffaf87195b0!3m1!1s2@1:CAIQACodChtycF9oOkRmNnNpY0xhM3VtdUc0eTNkaWZ1OXc%7C%7C?hl=en;ChIJifWlyWhZei4RsJVx-Pr_s5k;Jl. Colombo, Karang Malang, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia;Sleman Regency
Ci9DQUlRQUNvZENodHljRjlvT2t3MFlYcEdSSE5ETmpSeVpqUjZTMGhxVTBadFpGRRAB;Bakso Pa'jero;Kuliner;Ga ada yang spesial dari bakso ini, rasa biasa aja, terlalu banyak mie, ga berkesan sama sekali.;26/03/2026 21:48;3;https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2t3MFlYcEdSSE5ETmpSeVpqUjZTMGhxVTBadFpGRRAB!2m1!1s0x0:0x99b3fffaf87195b0!3m1!1s2@1:CAIQACodChtycF9oOkw0YXpGRHNDNjRyZjR6S0hqU0ZtZFE%7C%7C?hl=en;ChIJifWlyWhZei4RsJVx-Pr_s5k;Jl. Colombo, Karang Malang, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia;Sleman Regency
Ci9DQUlRQUNvZENodHljRjlvT2twWVVUaHlORU0xVFVaM1NrTmhNRmxPVFdadGVsRRAB;Bakso Pa'jero;Kuliner;Tempatnya sempit mungkin karna banyak orang dan full. Kuah nya gak ngaldu, baksonya biasa aja.;26/03/2026 19:48;4;https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2twWVVUaHlORU0xVFVaM1NrTmhNRmxPVFdadGVsRRAB!2m1!1s0x0:0x99b3fffaf87195b0!3m1!1s2@1:CAIQACodChtycF9oOkpYUThyNEM1TUZ3SkNhMFlOTWZtelE%7C%7C?hl=en;ChIJifWlyWhZei4RsJVx-Pr_s5k;Jl. Colombo, Karang Malang, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia;Sleman Regency
Ci9DQUlRQUNvZENodHljRjlvT2xsVU5VOUZkRXgwUTFkeVp6TlNVRVpvVkhCaVkzYxAB;Bakso Pa'jero;Kuliner;Bakso pajero sedap , kalian harus cobain;26/03/2026 17:31;5;https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xsVU5VOUZkRXgwUTFkeVp6TlNVRVpvVkhCaVkzYxAB!2m1!1s0x0:0x99b3fffaf87195b0!3m1!1s2@1:CAIQACodChtycF9oOllUNU9FdEx0Q1dyZzNSUEZoVHBiY3c%7C%7C?hl=en;ChIJifWlyWhZei4RsJVx-Pr_s5k;Jl. Colombo, Karang Malang, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia;Sleman Regency
